"NAME","TEL","URL","ADRESS1","ZIP","longtitude","latitude"
"P.S. 1 Contemporary Art Center","(718) 784-2084","http://www.ps1.org/","22-25 Jackson Ave.",11101,-73.946212417928,40.745839468634
"Paley Center For Media (formerly Museum Of Television & Radio)","(212) 621-6800","http://www.paleycenter.org/","25 West 52 Street",10019,-73.9776016138105,40.760573638592
"Queens Art Museum - Bulova Corporate Center","(516) 624-1910","http://www.bdg.net/properties/1/","75-20 Astoria Blvd.",11386,-73.8931484561862,40.764607255456
"Queens County Farm Museum","(718) 347-3276","http://www.queensfarm.org/","73-50 Little Neck Parkway",11004,-73.7257366086167,40.745569604291
"Queens Museum of Art","(718) 592-9700","http://www.queensmuseum.org/","Queens Museum of Art",11368,-73.8467627581779,40.7458428647494
"Rose Center for Earth and Space (Hayden Planetarium)","(212) 769-5100","http://www.haydenplanetarium.org/index.php","15 West 81st Street",10024,-73.9725749106765,40.782859832212
"Rose Museum at Carnegie Hall","(212) 903-9629","http://www.carnegiehall.org/textSite/the_basics/art_museum_archives.html","154 West 57th Street",0,-73.9799105035754,40.765012313344
"Rubin Museum of Art","(212) 620-5000","http://www.rmanyc.org/","150 West 17th Street",10011,-73.9977915253492,40.740020380141
"Sandy Ground Historical Society","(718) 317-5796","http://statenislandusa.com/pages/sandy_ground.html","1538 Woodrow Road",0,-74.2165028198913,40.540978354775
"Scandinavia House: The Nordic Center in America","(212) 879-9779","http://www.scandinaviahouse.org/","58 Park Ave.",10016,-73.9800884353853,40.749446895679
"Schomburg Center for Research in Black Culture","(212) 491-2200","http://www.nypl.org/research/sc/sc.html","515 Malcolm X Boulevard",10037,-73.9409907605316,40.814612726277
"School of Visual Arts Museum","(212) 592-2145","http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865","209 E. 23rd St.",10010,-73.9822423256007,40.738759190995
"Seguine Mansion","(718) 667-6042","http://www.historichousetrust.org/item.php?i_id=38","440 Seguine Avenue",10307,-74.1975892984191,40.515214343643
"Skyscraper Museum","(212) 968-1961","http://www.skyscraper.org/home.htm","39 Battery Place",10280,-74.0175680683307,40.705657529779
"Solomon R. Guggenheim Museum","(212) 423-3500","http://www.guggenheim.org/","1071 Fifth Avenue",10128,-73.9589110204059,40.783009476185
"Sony Wonder Technology Lab","(212) 833-8100","http://wondertechlab.sony.com/","550 Madison Ave",10022,-73.9735078210536,40.7614703010187
"South Street Seaport Museum","(212) 748-8600","http://www.southstreetseaportmuseum.org/","12 Fulton Street",10038,-74.0037209405758,40.706603357568
"Staten Island Children's Museum","(718) 273-2060","http://www.statenislandkids.org/","1000 Richmond Terr.",10301,-74.1018921051813,40.642708882248
"Staten Island Museum / Staten Island Institute of Arts & Sciences","(718) 727-1135","http://www.statenislandmuseum.org/","75 Stuyvesant Pl.",10301,-74.0776650626922,40.6443691786009
"Studio Museum in Harlem","(212) 864-4500","http://www.studiomuseum.org","144 West 125th Street",10027,-73.9477261547019,40.808245476168
"Tenement Museum","(212) 431-0233","http://www.tenement.org/","108 Orchard Street",10002,-73.9896790482491,40.718687698398
"The Freakatorium, El Museo Loco","(212) 375-0475","http://www.freakatorium.com/","57 Clinton St.",10002,-73.9850144898245,40.719616728018
"The Jazz Museum in Harlem","(212) 348-8300","http://www.jazzmuseuminharlem.org/","104 E. 126th Street",10035,-73.9380587417615,40.8052763843579
"The Jewish Children's Museum","(718) 467-0600","http://www.jcmonline.org/","792 Eastern Pkwy",11213,-73.9419617700632,40.668911577324
"The Museum at FIT","(212) 217-5800","http://www.fitnyc.edu/306.asp","7th Avenue at West 27th Street",10001,-73.9939296677583,40.747008375827
"Theodore Roosevelt Birthplace","(212) 260-1616","http://www.nps.gov/thrb/index.htm","28 East 20th Street",10003,-73.9890408525044,40.738642014511
"Ukrainian Museum","(212) 228-0110","http://www.ukrainianmuseum.org/","222 East 6th Street",10003,-73.9897570307878,40.727676787699
"Valentine-Varian House","(718) 881-8900","http://www.museumregister.com/US/NewYork/Bronx/ValentineVarianHouse/Info.html","3266 Bainbridge Ave.",10467,-73.879424718496,40.877379824668
"Van Cortlandt House Museum","(718) 543-3344","http://www.vancortlandthouse.org/","VAN CRTLANDT MANSION",10471,-73.8948225702531,40.891111167291
"Wave Hill","(718) 549-3200","http://wavehill.org/visit/","West 249th Street & Independence Avenue",10471,-73.9116537657472,40.89788471476
"Whitney Museum of American Art","1 (800) WHITNEY","http://www.whitney.org/","945 Madison Ave.",10021,-73.963834347362,40.773407292902
"Wyckoff Farmhouse Museum","(718) 629-5400","http://www.wyckoffassociation.org/","5816 Clarendon Ave",11203,-73.9207962990631,40.644340681393
"Leo Baeck Institute","(212) 744-6400","http://www.lbi.org/","15 W. 16th St.",10011,-73.993764493639,40.738027542974
"American Sephardi Federation / Sephardic House","(212) 294-8350","http://www.americansephardifederation.org/","15 W. 16th St.",10011,-73.9938857965832,40.738077233178
"YIVO Institute for Jewish Research","(212) 246-6860","http://www.yivoinstitute.org/","15 W. 16th St.",10011,-73.9937942724533,40.737959947086
"American Jewish Historical Society","(212) 294-6160","http://www.ajhs.org/","15 W. 16th St.",10011,-73.9939289042106,40.738015384101
"Yeshiva University Museum","(212) 294-8330","http://www.yumuseum.org/","15 W. 16th St.",10011,-73.9938173704963,40.738045683847
"Center For Jewish History","(212) 294-8301","http://www.cjh.org","15 W. 16th St.",10011,-73.9938687722398,40.737986764588
